word,freq,in_words,postag
managerial,177,1,n
financial,2999,1,a
skill,543,1,n
government,1508,1,n
provincialand,8,0,n
level,1672,1,n
asset,537,1,n
support,5938,1,n
ing,1158,1,v
overall,312,1,a
coordinate,146,0,n
implementation,5149,1,n
establishment,1977,1,n
operation,2313,1,n
information,3581,1,n
amonitoring,7,0,v
evaluation,2076,1,n
highwayplanning,7,0,v
work,1897,1,n
rationalizingexpenditure,6,0,n
financing,1710,0,n
optimize,53,1,v
theexpenditure,7,0,n
yugoslav,6,0,n
highway,518,1,n
ii,4831,0,n
toinstitute,6,0,n
nationwide,52,1,a
fundingmechanism,7,0,n
operational,1012,1,a
meet,230,1,n
maintenancerequirements,6,0,n
continue,74,1,v
basis,980,1,n
iii,2739,0,n
forforeign,6,0,n
exchange,478,1,n
generate,219,1,v
tourist,38,1,n
iv,1658,0,n
economic,975,1,a
reform,1213,1,n
process,1060,1,n
yugoslavia,14,0,n
theestablishment,73,0,n
form,353,1,n
ownership,120,1,n
joint,143,1,n
venture,58,1,n
thetrans,13,0,n
economically,55,1,r
ly,152,1,n
viable,99,1,a
rectify,9,1,v
incentive,266,1,n
distortion,23,1,n
freight,83,1,n
improvequality,2,0,n
encourage,76,1,n
role,239,1,n
private,1397,1,a
reduce,863,1,v
cost,1812,1,n
suchmodifications,546,0,n
uponfrom,409,0,n
period,403,1,n
programfor,12,0,n
adoption,411,1,n
planningsystem,1,0,n
strengthen,4523,1,v
andplanning,7,0,v
capability,866,1,n
specializedequipment,5,0,n
andtrans,4,0,n
operator,178,1,n
carry,6272,1,v
study,2973,1,n
organizationrequirements,1,0,n
reduction,444,1,n
noxious,6,1,a
vehicle,594,1,n
emission,124,1,n
enhance,584,1,n
quality,2030,1,n
teach,299,1,v
learn,424,1,v
basic,743,1,a
school,1859,1,n
create,119,1,n
education,2760,1,n
energy,1173,1,n
condition,1106,1,n
environment,536,1,n
enhance,496,1,v
upgrade,1167,1,v
teacher,696,1,n
knowledge,297,1,n
aid,255,1,n
demand,406,1,n
curriculum,272,1,n
create,217,1,v
community,1687,1,n
learner,11,1,n
among,370,1,n
student,594,1,n
use,1333,1,n
communication,1364,1,n
technology,1308,1,n
net,185,1,n
establish,1453,1,v
policy,2276,1,n
analysis,811,1,n
group,742,1,n
pag,2,0,n
responsible,330,1,a
develop,1925,1,v
nal,316,0,a
conduct,112,1,n
upgraded,32,0,a
national,4046,1,a
systematic,56,1,a
assessment,1171,1,n
achievement,187,1,n
external,186,1,a
audit,924,1,n
engineering,426,1,n
ventions,178,0,n
performance,1025,1,n
heating,127,1,n
ventilation,17,1,n
hygiene,88,1,n
handicapped,12,1,n
enable,320,1,a
integration,297,1,n
disabled,34,1,a
child,389,1,n
refurbish,56,1,v
library,132,1,n
promote,341,1,v
optimization,93,1,n
municipality,820,1,n
local,1550,1,a
implement,769,1,n
assist,176,1,v
closure,71,1,n
amalgamation,5,1,n
pilot,875,1,n
retrain,24,1,v
additional,533,1,a
small,796,1,a
civil,585,1,a
receive,185,1,v
organize,150,1,v
ensure,652,1,v
universal,62,1,n
prepare,222,1,v
uniform,33,1,n
accounting,502,1,n
save,40,1,v
fund,905,1,n
obtain,182,1,v
utilized,92,0,a
procurement,1517,1,n
pcu,159,0,n
northern,49,1,a
sahara,5,0,n
region,611,1,n
territory,729,1,n
environmentally,182,1,r
sound,152,1,n
manner,343,1,n
relate,227,1,v
planning,1664,0,n
resource,1755,1,n
strengthen,1468,1,n
agricultural,1061,1,a
monitor,471,1,n
quantity,31,1,n
ground,179,1,n
oil,721,1,n
salinity,8,1,n
flow,1,1,v
collector,59,1,n
apply,666,1,v
research,1335,1,n
extension,650,1,n
related,1606,1,a
particular,195,1,a
reference,334,1,n
define,84,1,n
general,1158,1,a
strategy,1378,1,n
base,1611,1,v
suitable,215,1,a
environmental,2113,1,a
detailed,287,1,a
proposal,298,1,n
far,504,1,r
require,1585,1,v
staff,114,1,v
equip,243,1,v
agency,1239,1,n
cdars,1,0,n
coordination,764,0,n
execution,503,1,n
oasis,2,1,n
oued,12,0,v
hir,1,0,n
basin,436,1,n
rehabilitate,124,1,n
date,2262,1,n
palm,51,1,n
plantation,108,1,n
consist,527,1,v
drilling,70,1,n
well,154,1,n
pump,309,1,v
deteriorate,9,1,v
non,983,1,n
irrigation,855,1,n
farm,419,1,n
machinery,67,1,n
make,1642,1,v
available,174,1,a
farmer,543,1,n
arrangement,344,1,n
satisfactory,864,1,n
effort,169,1,n
alleviate,37,1,n
rural,1633,1,a
poverty,252,1,n
social,2296,1,a
employment,419,1,n
income,544,1,n
opunities,188,0,n
poor,332,1,a
investment,2479,1,n
intensify,2,1,v
current,278,1,a
capital,627,1,n
leverage,11,1,v
revenue,367,1,n
mobilization,114,1,n
municipal,866,1,a
projectsfinancing,16,0,v
scale,361,1,n
supply,1759,1,n
electrification,118,1,n
bridge,442,1,n
day,292,1,n
care,920,1,n
center,1175,1,n
health,3162,1,n
post,266,1,n
agro,173,0,n
processing,428,0,n
purchase,188,1,n
minor,135,1,n
scheme,503,1,n
introductory,6,1,n
building,1464,1,n
council,468,1,n
participate,1011,1,v
organization,790,1,n
workshop,507,1,n
seminar,175,1,n
association,309,1,n
view,221,1,n
disseminate,140,1,n
experience,132,1,n
respect,1171,1,n
analyze,94,1,n
fiscal,644,1,a
effect,163,1,n
measure,961,1,n
address,76,1,v
identify,639,1,v
constraint,60,1,n
administration,1009,1,n
supervision,1068,1,n
field,452,1,n
office,1107,1,n
mi,100,1,n
campaign,487,1,n
review,870,1,n
impact,860,1,n
tourism,257,1,n
localeconomic,1,0,a
south,149,1,n
albania,8,0,n
improvementupgrading,2,0,v
offeasibility,2,0,n
restore,38,1,n
heritage,132,1,n
space,148,1,n
thestreet,1,0,n
associate,436,1,v
conduct,254,1,v
touristic,13,1,a
site,545,1,n
upgradingimproving,1,0,v
corridorby,1,0,n
restore,39,1,v
cultural,221,1,a
rest,18,1,n
stop,63,1,n
orviewpoints,1,0,n
repair,12,1,v
pathway,24,1,n
feasibility,374,1,n
engineeringdesigns,6,0,n
market,1834,1,n
product,501,1,n
deliver,99,1,n
sthrough,10,0,n
geographic,77,1,a
solid,360,1,a
rehabilitate,150,1,v
promote,579,1,n
sustainable,638,1,a
growthincluding,1,0,v
andproduct,1,0,n
pilotdestination,1,0,n
partnership,209,1,n
central,1076,1,a
promotesustainable,2,0,a
growth,205,1,n
asystem,9,0,n
track,38,1,v
indicator,330,1,n
carry,604,1,n
maintenanceof,11,0,n
ofincremental,8,0,n
operating,743,1,n
increase,1087,1,n
croatia,7,0,n
investmentsimprovement,1,0,n
end,487,1,n
user,446,1,n
contract,1768,1,n
meeting,147,1,n
eligibility,90,1,n
criterion,410,1,n
hep,12,1,n
esco,10,0,n
eligible,1058,1,a
saving,83,1,n
pre,318,0,n
audit,277,1,v
grade,190,1,n
partial,30,1,a
credit,875,1,n
guarantee,150,1,n
commercial,478,1,a
loan,4251,1,n
co,179,0,n
finance,1650,1,n
initial,179,1,a
mitigate,81,1,n
risk,962,1,n
default,32,1,n
obligation,172,1,n
hbor,2,0,n
underwrite,1,1,a
issue,841,1,v
beneficiary,622,1,n
provider,374,1,n
perform,65,1,n
firm,179,1,n
work,188,1,v
disseminate,80,1,v
place,103,1,n
potential,352,1,a
reing,325,0,v
shenyang,15,0,n
reorganization,82,1,n
industrial,416,1,a
especially,75,1,r
industry,479,1,n
action,1928,1,n
restructuring,647,0,n
protection,790,1,n
key,441,1,n
aspect,216,1,n
official,942,1,n
economics,26,1,n
trade,540,1,n
topic,64,1,n
outside,54,1,n
china,32,1,n
safety,1121,1,n
inspector,36,1,n
enterprise,1334,1,n
inspection,194,1,n
facilitate,463,1,n
merger,37,1,n
simplification,41,1,n
administrative,557,1,a
procedure,1814,1,n
therefor,541,1,n
property,241,1,n
right,331,1,n
transaction,275,1,n
strength,20,1,n
state,1440,1,n
bureau,101,1,n
faculty,47,1,n
college,37,1,n
overseas,151,1,r
physical,254,1,a
smtcl,2,0,n
modernize,165,1,v
rationalize,88,1,v
effective,478,1,a
specialized,259,1,a
assembly,82,1,r
shop,36,1,n
replacement,308,1,n
foundry,4,1,n
acceptably,2,1,r
advanced,59,1,a
disposition,4,1,n
workforce,33,1,n
language,72,1,n
specific,485,1,a
modernization,466,1,n
hazardous,110,1,a
dispose,14,1,n
treat,28,1,n
landfill,117,0,n
introduction,367,1,n
structure,614,1,n
tariff,397,1,n
disposal,232,1,n
effluent,63,1,n
test,379,1,v
laboratory,396,1,n
consultant,1295,1,n
villager,10,1,n
pnpm,13,0,n
location,121,1,n
benefit,445,1,n
socio,126,0,n
governance,303,1,n
kecamatan,28,0,n
grant,928,1,n
use,622,1,v
revolve,23,1,v
respond,8,1,v
disaster,305,1,n
emergency,436,1,n
catastrophic,13,1,a
event,167,1,n
need,281,1,v
special,1006,1,a
facilitation,105,1,n
advisory,665,1,n
material,1043,1,n
facilitator,24,1,n
kabupaten,111,0,v
pmd,6,0,n
incremental,179,1,n
good,1682,1,n
estimate,270,1,v
theequivalent,105,0,n
award,300,1,v
throughinter,41,0,n
competitive,361,1,a
bidding,486,1,n
proceduresconsistent,44,0,n
set,1228,1,n
forth,950,1,n
section,2746,1,n
guideline,1455,1,n
ibrd,148,0,n
ida,120,0,n
publish,1066,1,v
thefollowing,167,0,v
paragraph,2490,1,n
delete,333,1,v
stituted,75,0,v
notification,110,1,n
advertising,143,1,n
notify,105,1,v
timely,165,1,r
opunity,85,0,n
bid,537,1,n
invitation,183,1,n
inclusion,217,1,n
bidder,257,1,n
list,183,1,n
prequalification,88,1,n
advertisement,160,1,n
place,97,1,v
least,757,1,a
one,770,1,n
newspaper,143,1,n
circulation,124,1,n
country,409,1,n
addition,124,1,n
notice,566,1,n
united,150,1,a
nation,166,1,n
ation,237,0,n
business,1261,1,n
periodical,79,1,a
journal,122,1,n
wide,193,1,a
representative,201,1,n
refer,1295,1,v
supplier,183,1,n
add,167,1,v
ofthe,647,0,n
alternative,270,1,n
document,712,1,n
require,126,1,n
price,463,1,n
single,417,1,a
currency,706,1,n
widely,61,1,r
specify,336,1,v
equivalent,376,1,n
lessthan,14,0,n
purchaser,167,1,n
imation,80,0,n
ofsuch,66,0,a
foundacceptable,35,0,a
establishedcommercial,47,0,a
practice,933,1,n
awardedon,37,0,n
comparison,93,1,n
quotation,91,1,n
obtainedfrom,18,0,n
two,816,1,n
except,269,1,n
directcontracting,35,0,v
acceptable,704,1,a
whereconsidered,35,0,v
appropriate,584,1,n
commodity,83,1,n
thebasis,37,0,n
morethan,15,0,n
ofthis,123,0,n
schedule,1910,1,n
furnish,346,1,a
prior,599,1,r
themission,67,0,n
first,766,1,r
application,674,1,n
withdrawal,1249,1,n
offunds,68,0,n
account,1865,1,n
twoconformed,53,0,v
copy,209,1,n
together,202,1,r
therespective,71,0,n
recommendation,296,1,n
award,177,1,n
description,155,1,n
theadvertising,41,0,v
tender,83,1,v
reasonably,196,1,r
request,758,1,n
documentationand,19,0,n
precede,109,1,v
notapply,2,0,n
authorizedwithdrawals,2,0,n
statement,171,1,n
ofexpenditure,36,0,n
recipient,120,1,n
frameworkfor,13,0,n
climate,315,1,n
resilience,88,1,n
adaptive,55,1,a
vulnerable,147,1,a
thebarotse,1,0,n
constitutes,62,0,n
second,356,1,a
phase,269,1,n
strategic,582,1,a
framework,1478,1,n
forclimate,4,0,n
comprise,18,1,n
change,498,1,n
mainstreamingof,1,0,n
sectoral,157,1,a
provisionof,91,0,n
short,169,1,a
term,1484,1,n
graduate,147,1,n
champion,3,1,n
share,177,1,v
dissemination,521,1,n
coordinate,125,0,v
unit,1075,1,n
fiduciary,107,1,a
programmatic,16,1,a
technicalassistance,131,0,n
ofconsultant,6,0,n
early,323,1,r
warn,67,1,v
disseminationthrough,2,0,n
awareness,442,1,n
ofrapid,1,0,a
line,1013,1,n
open,109,1,a
data,1244,1,n
platform,215,1,n
financingof,19,0,n
challenge,30,1,n
producer,200,1,n
transform,18,1,n
theirlivelihoods,1,0,n
thedissemination,3,0,n
accessibility,70,1,n
stakeholder,328,1,n
participatory,212,1,n
adaptationcarrying,4,0,v
barotse,7,0,n
engage,76,1,v
experienced,12,1,a
otherqualified,2,0,v
andarticulate,2,0,n
approach,268,1,n
prioritize,21,0,n
adaptation,99,1,n
option,232,1,n
western,73,1,a
climaterisk,2,0,n
mainstreaming,29,0,v
climateresilience,5,0,n
regional,1032,1,a
budget,1093,1,n
design,573,1,v
oversee,18,1,v
theimplementation,121,0,n
structural,117,1,a
enhancingaccess,3,0,n
expertise,66,0,n
recurrent,33,1,n
traditional,55,1,a
allthrough,7,0,n
andfinancing,14,0,v
expenditure,1139,1,n
thewestern,4,0,n
safeguardsscreening,1,0,v
wardcommunity,2,0,n
individual,196,1,a
innovation,350,1,n
thework,2,0,n
best,146,1,a
perform,82,1,v
contingency,36,1,n
occurrence,11,1,n
define,248,1,v
participatoryadaptation,2,0,n
manual,430,1,a
availability,443,1,n
proceeds,689,1,n
programthe,139,0,n
take,931,1,v
parliament,197,1,n
enact,248,1,v
law,2095,1,n
target,469,1,v
cash,199,1,n
mandate,44,1,v
need,486,1,n
federation,50,1,n
way,140,1,n
introduce,204,1,v
coefficient,6,1,n
mechanism,753,1,n
indexation,10,0,n
inflation,25,1,n
instead,8,1,r
wage,55,1,n
amend,342,1,v
war,11,1,n
veteran,12,1,n
family,391,1,n
decease,2,1,v
soldier,3,1,n
gazette,777,1,n
mean,2084,1,n
disability,41,1,n
exception,23,1,n
age,119,1,n
receive,52,1,n
full,224,1,a
defender,2,1,n
holder,32,1,n
military,41,1,a
decoration,1,1,n
repeal,6,1,v
demobilize,1,1,v
pursuant,795,1,n
cease,3,1,n
clear,36,1,a
priority,633,1,n
limited,168,1,a
category,450,1,n
adopt,613,1,v
stance,121,1,n
status,125,1,n
rjmr,15,0,n
integrate,775,1,v
flumitrens,6,0,n
sidies,109,0,n
receives,2,0,n
stantial,25,0,a
participation,527,1,n
reformsprovision,7,0,n
undertaken,56,0,a
connection,445,1,n
concession,126,1,n
documentation,135,1,n
cover,159,1,n
organizational,305,1,a
determination,50,1,n
valuation,59,1,n
identification,327,1,n
human,573,1,n
transfer,555,1,n
personnel,478,1,n
pension,328,1,n
vi,356,0,n
legal,809,1,a
enters,4,0,n
streamline,43,1,n
roll,65,1,v
stock,171,1,n
railway,312,1,n
payroll,61,1,n
software,515,0,n
base,251,1,n
signal,56,1,v
teles,257,0,n
described,133,0,n
modal,30,1,n
amtu,3,0,n
rj,6,0,n
consist,77,1,n
update,311,1,v
land,1099,1,n
air,297,1,n
master,204,1,n
emphasis,91,1,n
route,73,1,n
rationalization,80,1,n
niter,1,1,n
gon,2,1,n
alo,1,1,n
mass,89,1,n
concessionaire,14,1,n
behalf,101,1,n
asep,1,0,n
noise,19,1,n
reliable,75,1,a
collect,59,1,n
violation,11,1,n
fine,13,1,n
enforce,16,1,v
deterrent,2,1,n
accident,117,1,n
equipmentimprovement,1,0,n
twelve,46,1,n
passenger,96,1,n
five,301,1,n
underpass,21,1,n
nine,51,1,n
kilometer,500,1,n
fence,8,1,n
adjacent,48,1,n
evasion,24,1,n
sleeper,3,1,n
conversion,438,1,n
track,155,1,n
gramacho,1,0,n
saracuruna,1,0,n
segment,86,1,n
gauge,4,1,n
repair,298,1,n
transmission,837,1,n
leopoldina,1,0,n
electric,112,1,a
control,1445,1,n
pedro,11,1,n
deodoro,2,0,n
yard,33,1,n
sta,29,0,n
cruz,5,0,n
japeri,3,0,n
automatic,52,1,a
train,140,1,n
fare,21,1,n
fiber,42,1,n
optic,29,1,a
cable,82,1,n
link,183,1,n
telephonic,1,1,n
tele,81,1,n
electrical,102,1,a
multiple,27,1,n
colciencias,10,0,n
economy,215,1,n
raise,83,1,n
science,232,1,n
colombian,10,0,a
society,121,1,n
enhancement,294,1,n
creation,352,1,n
evaluate,297,1,n
insertion,16,1,n
doctoral,16,1,a
stipend,15,1,n
hire,11,1,n
er,94,1,n
reside,19,1,v
colombia,22,0,n
linkage,110,1,n
scientist,22,1,n
diaspora,2,0,n
match,82,1,v
collaborative,17,1,n
forum,87,1,n
scientific,76,1,a
secondary,818,1,a
revision,175,1,n
instrument,284,1,n
recuperaci,1,0,n
contingente,1,0,n
cofinanciaci,1,0,n
rental,28,1,n
mobile,118,1,n
classroom,149,1,n
mediator,3,1,n
visibility,2,1,n
medium,549,1,n
propose,286,1,v
envprl,2,0,n
nems,3,0,n
responsibility,362,1,n
body,122,1,n
federal,248,1,a
licensing,128,0,n
authorization,59,1,n
mma,25,0,n
ibama,6,0,n
professional,246,1,a
qualification,95,1,n
integrate,76,1,n
statistic,145,1,n
furnish,277,1,v
green,92,1,a
agenda,48,1,n
biodiversity,68,0,n
conservation,415,1,n
andsustainable,8,0,a
biome,4,1,n
regulation,1115,1,n
draft,325,1,n
atlantic,9,1,a
forest,560,1,n
rain,23,1,n
regard,194,1,v
cerrado,4,0,n
bill,102,1,n
reformulation,15,1,n
charge,20,1,v
fee,310,1,n
debate,10,1,n
around,54,1,n
brown,1,1,n
dueto,3,0,n
efficient,442,1,n
chemical,56,1,n
contaminant,5,1,n
affect,30,1,v
registry,272,1,n
definition,296,1,n
methodology,357,1,n
respond,68,1,n
involve,245,1,v
pollution,289,1,n
source,224,1,n
contaminate,28,1,v
blue,23,1,n
balance,29,1,v
deized,121,0,v
sustainability,275,0,n
select,83,1,n
control,60,1,v
deforestation,14,1,n
amazon,5,0,n
delimitation,12,1,n
zone,44,1,v
br,17,0,n
collaboration,79,1,n
various,186,1,a
fight,15,1,n
agent,88,1,n
mte,1,0,n
mda,7,0,n
dprf,2,0,n
pa,30,1,n
consultation,168,1,n
increase,626,1,v
sanitation,715,1,n
certification,204,1,n
prodes,1,0,n
example,22,1,n
aim,599,1,v
revitalization,10,1,n
francisco,11,0,n
river,654,1,n
hydro,325,1,n
power,1195,1,n
old,127,1,a
rational,34,1,a
renewable,196,1,a
epe,1,0,n
mme,8,0,n
agrarian,21,1,a
simplify,70,1,v
settlement,133,1,n
mtur,2,0,n
post,8,1,v
website,138,0,n
date,1969,1,v
committee,333,1,n
programa,73,0,n
release,91,1,n
tranche,204,0,n
adjustment,130,1,n
achieve,255,1,v
primary,737,1,n
surplus,10,1,n
million,172,1,n
compliance,344,1,n
paf,7,0,n
evidence,845,1,v
cio,3,0,n
corem,3,0,n
stn,28,0,n
sent,37,1,n
guarantor,302,1,n
maintain,139,1,v
macroeconomic,132,0,a
jeopardize,1,1,n
opinion,34,1,n
contain,58,1,v
compare,41,1,v
target,322,1,n
oficio,44,0,n
expense,50,1,n
decrease,3,1,v
relation,147,1,n
annex,121,1,n
gsf,2,0,n
successfully,13,1,r
matrix,17,1,n
model,510,1,n
tax,1077,1,n
payer,14,1,n
surveillance,197,1,n
drpe,1,0,n
sefaz,32,0,n
decree,765,1,n
stitution,9,0,n
regime,104,1,n
icms,6,0,n
order,639,1,n
presume,1,1,v
modality,53,1,n
governor,13,1,n
seplag,29,0,n
execute,114,1,v
result,761,1,n
agreement,2036,1,n
debt,384,1,n
real,197,1,a
ratio,46,1,n
present,51,1,v
maturity,51,1,n
separate,132,1,a
creditor,13,1,n
security,433,1,n
administrator,68,1,n
rpps,1,0,n
equitable,64,1,a
mitted,265,0,v
approval,291,1,n
legislature,20,1,n
regulate,70,1,n
gg,2,0,n
sl,8,0,n
approve,816,1,v
oscip,1,0,n
eleven,25,1,r
gab,5,1,n
annexed,4,0,n
therewith,36,1,n
three,449,1,n
see,26,1,v
six,250,1,n
launch,77,1,v
sarh,2,0,n
billion,26,1,n
evaluate,144,1,v
letter,256,1,n
frame,10,1,n
call,5,1,v
fazendo,1,0,n
mais,1,0,n
com,23,0,n
menos,1,0,n
reach,27,1,v
receita,2,0,n
de,1066,1,n
arrecada,1,0,n
pr,34,0,n
pria,2,0,n
annual,420,1,a
respectively,151,1,r
www,64,0,n
gov,37,0,n
historical,15,1,a
statistic,1,1,a
series,87,1,n
fundopem,1,0,n
immediately,96,1,r
disbursement,221,1,n
irrevocable,4,1,a
commitment,388,1,n
pay,112,1,n
servant,79,1,n
oscips,2,0,n
determine,475,1,v
prepared,186,1,a
sjds,1,0,n
fully,207,1,r
aria,28,1,n
gest,4,1,n
found,43,1,n
career,68,1,n
direct,162,1,a
indirect,18,1,n
high,649,1,a
policyand,7,0,n
shortage,31,1,n
technical,2,1,n
department,467,1,n
ment,46,0,n
evaluatetraining,2,0,v
computersand,4,0,n
employ,28,1,n
catalogue,2,1,v
microcomputer,6,0,n
book,120,1,n
andrelated,24,0,v
inaccordance,98,1,n
tofocus,1,0,n
intensive,41,1,a
course,214,1,n
executive,155,1,n
great,159,1,a
trainer,108,1,n
house,169,1,n
includingacquisition,7,0,n
printing,53,1,n
audio,24,1,n
visual,26,1,a
computer,436,1,n
fellowship,148,1,n
sdepartments,2,0,n
qualify,86,1,v
candidate,19,1,n
fortraining,3,0,v
semarang,6,0,n
surakarta,6,0,n
govern,23,1,n
ments,14,0,n
povertyalleviation,2,0,n
timeto,55,0,n
periodic,119,1,n
routine,95,1,n
includingimprovements,3,0,n
signal,43,1,n
transand,8,0,n
deepwells,3,0,n
theexisting,17,0,v
kali,8,1,n
garang,9,0,n
gajah,2,0,n
mungkur,2,0,n
intake,74,1,n
atkudu,1,0,n
loss,201,1,n
reductionprogram,3,0,n
expansion,824,1,n
storage,332,1,n
systemthrough,24,0,n
storagereservoirs,3,0,n
tap,11,1,n
household,377,1,n
tertiary,164,1,a
drain,68,1,n
resettlement,300,1,n
affected,194,1,a
person,219,1,n
displace,103,1,v
bythe,111,0,n
banger,2,1,n
housing,404,1,n
plot,48,1,n
utility,272,1,n
civic,10,1,n
comprise,169,1,v
trunk,69,1,n
ceptor,31,1,n
sewer,156,1,n
septage,22,0,n
communal,66,1,n
lavatory,10,1,n
tet,38,0,n
sludge,65,1,n
collect,66,1,v
septic,19,1,a
tank,93,1,n
di,10,1,n
sal,14,1,n
iatibarang,1,0,n
acilitate,1,0,n
jatibarang,3,0,n
selection,322,1,n
theprovision,200,0,n
dump,46,1,n
truck,67,1,n
armroll,4,0,n
loader,5,1,n
backhoe,4,0,n
andhandcarts,1,0,n
rampung,1,0,n
neighborhood,90,1,n
kampung,15,0,n
andeconomic,10,0,a
facilitiesin,5,0,n
renewal,60,1,n
implementationof,46,0,n
low,461,1,a
bandarharjo,2,0,n
underthe,49,0,n
triguna,4,0,n
historic,76,1,n
toprotect,9,0,n
tawang,2,0,n
kotalama,1,0,n
capabilitiesof,7,0,n
liquid,19,1,n
sand,49,1,n
activitiesfor,5,0,n
ofnew,19,0,n
andinstallation,17,0,n
booster,16,1,n
pump,113,1,n
provi,12,0,n
sion,15,1,n
metropolitan,136,1,n
demangan,2,0,n
yani,2,0,n
pepe,2,0,n
systemcomprising,2,0,v
stream,30,1,n
mojosongo,4,0,n
jebres,2,0,n
oxidation,2,1,n
anyar,2,0,n
main,305,1,a
putri,2,0,n
cempo,2,0,n
final,91,1,a
compactor,4,1,n
wheelloader,1,0,n
handcart,3,1,n
kamipung,1,0,n
economiccommunity,1,0,n
theimplementing,6,0,v
andthe,124,0,n
projectimplementation,30,0,n
seweragool,1,0,n
narch,1,0,n
edsecs,6,0,n
disparity,8,1,n
across,112,1,n
effectiveness,381,1,n
raise,113,1,v
minimum,160,1,n
standard,1143,1,n
help,8,1,v
manage,189,1,v
reading,52,1,n
fundescola,2,0,n
pedagogical,59,1,a
school,16,1,v
engagement,82,1,n
parent,71,1,n
dgp,1,0,n
comply,69,1,n
consistent,231,1,n
advertisingthe,28,0,n
less,280,1,r
contract,176,1,v
consider,36,1,v
mission,201,1,n
conform,49,1,v
respective,367,1,n
authorize,257,1,v
agreementi,8,0,n
investor,118,1,n
operate,166,1,n
cargo,66,1,n
urquiza,3,0,n
mitre,2,1,n
san,95,1,n
martin,5,1,n
sarmiento,1,0,n
reorganize,24,1,v
buenos,34,0,n
aire,34,1,n
administratively,2,1,r
operationally,10,0,r
independent,238,1,a
fa,13,1,n
legally,35,1,r
authority,339,1,n
function,547,1,n
relevant,669,1,n
provincial,562,1,n
formally,8,1,r
gradual,38,1,a
exclude,200,1,v
explicitly,6,1,r
allocate,219,1,v
sidy,70,1,n
agree,572,1,v
elimination,68,1,n
essential,99,1,a
unprofitable,6,1,a
throughout,123,1,n
argentina,35,0,n
deregulation,17,0,n
free,124,1,a
ims,84,0,n
ex,322,1,n
