word,freq,in_words,postag
acquisition,961,1,n
provide,957,1,n
forth,950,1,n
official,942,1,n
practice,933,1,n
grant,928,1,n
audit,924,1,n
care,920,1,n
purpose,910,1,n
fund,905,1,n
distribution,899,1,n
province,890,1,n
pilot,875,1,n
credit,875,1,n
review,870,1,n
municipal,866,1,a
capability,866,1,n
satisfactory,864,1,n
impact,860,1,n
irrigation,855,1,n
transmission,837,1,n
expansion,824,1,n
regulatory,822,1,a
municipality,820,1,n
secondary,818,1,a
two,816,1,n
analysis,811,1,n
legal,809,1,a
treatment,805,1,n
small,796,1,a
pursuant,795,1,n
organization,790,1,n
protection,790,1,n
necessary,780,1,a
collection,778,1,n
gazette,777,1,n
production,774,1,n
one,770,1,n
implement,769,1,n
delivery,768,1,n
decree,765,1,n
result,761,1,n
request,758,1,n
least,757,1,a
mechanism,753,1,n
operating,743,1,n
basic,743,1,a
group,742,1,n
withdrawn,740,1,n
primary,737,1,n
territory,729,1,n
oil,721,1,n
sanitation,715,1,n
document,712,1,n
city,711,1,n
currency,706,1,n
acceptable,704,1,a
teacher,696,1,n
proceeds,689,1,n
gas,682,1,n
application,674,1,n
relevant,669,1,n
advisory,665,1,n
river,654,1,n
extension,650,1,n
high,649,1,a
traffic,645,1,n
fiscal,644,1,a
order,639,1,n
sustainable,638,1,a
priority,633,1,n
capital,627,1,n
deposit,625,1,n
beneficiary,622,1,n
rate,615,1,n
structure,614,1,n
region,611,1,n
carry,604,1,n
include,599,1,n
drainage,595,1,n
vehicle,594,1,n
student,594,1,n
civil,585,1,a
appropriate,584,1,n
enhance,584,1,n
strategic,582,1,a
promote,579,1,n
electricity,576,1,n
human,573,1,n
survey,569,1,n
notice,566,1,n
company,563,1,n
provincial,562,1,n
forest,560,1,n
allocation,557,1,n
administrative,557,1,a
transfer,555,1,n
promotion,554,1,n
medium,549,1,n
function,547,1,n
decision,546,1,n
site,545,1,n
income,544,1,n
farmer,543,1,n
skill,543,1,n
therefor,541,1,n
trade,540,1,n
asset,537,1,n
bid,537,1,n
environment,536,1,n
share,534,1,n
additional,533,1,a
participation,527,1,n
dissemination,521,1,n
highway,518,1,n
model,510,1,n
workshop,507,1,n
scheme,503,1,n
execution,503,1,n
accounting,502,1,n
product,501,1,n
kilometer,500,1,n
change,498,1,n
end,487,1,n
campaign,487,1,n
minister,487,1,n
need,486,1,n
bidding,486,1,n
specific,485,1,a
industry,479,1,n
effective,478,1,a
exchange,478,1,n
personnel,478,1,n
commercial,478,1,a
requirement,476,1,n
monitor,471,1,n
evidence,471,1,n
council,468,1,n
department,467,1,n
modernization,466,1,n
price,463,1,n
facilitate,463,1,n
low,461,1,a
population,459,1,n
field,452,1,n
category,450,1,n
hospital,450,1,n
three,449,1,n
resolution,447,1,n
component,447,1,n
insurance,447,1,n
user,446,1,n
connection,445,1,n
benefit,445,1,n
reduction,444,1,n
availability,443,1,n
bridge,442,1,n
efficient,442,1,n
awareness,442,1,n
key,441,1,n
conversion,438,1,n
computer,436,1,n
basin,436,1,n
emergency,436,1,n
security,433,1,n
case,432,1,n
manual,430,1,a
engineering,426,1,n
natural,420,1,a
annual,420,1,a
farm,419,1,n
employment,419,1,n
single,417,1,a
industrial,416,1,a
conservation,415,1,n
adoption,411,1,n
criterion,410,1,n
country,409,1,n
demand,406,1,n
housing,404,1,n
period,403,1,n
table,402,1,n
tariff,397,1,n
laboratory,396,1,n
generation,395,1,n
family,391,1,n
child,389,1,n
manage,388,1,n
commitment,388,1,n
agriculture,386,1,n
debt,384,1,n
effectiveness,381,1,n
number,380,1,n
household,377,1,n
charge,376,1,n
equivalent,376,1,n
labor,375,1,n
provider,374,1,n
feasibility,374,1,n
utilization,373,1,n
among,370,1,n
introduction,367,1,n
revenue,367,1,n
respective,367,1,n
flood,365,1,n
sewerage,365,1,n
responsibility,362,1,n
scale,361,1,n
competitive,361,1,a
solid,360,1,a
methodology,357,1,n
second,356,1,a
village,356,1,n
value,354,1,n
installment,354,1,n
form,353,1,n
comprehensive,353,1,n
potential,352,1,a
original,352,1,a
balance,352,1,n
creation,352,1,n
innovation,350,1,n
meter,348,1,n
furnish,346,1,a
arrangement,344,1,n
compliance,344,1,n
manner,343,1,n
micro,341,1,n
authority,339,1,n
tool,335,1,n
medical,334,1,a
reference,334,1,n
committee,333,1,n
poor,332,1,a
storage,332,1,n
right,331,1,n
responsible,330,1,a
indicator,330,1,n
total,329,1,a
stakeholder,328,1,n
pension,328,1,n
identification,327,1,n
issue,326,1,n
amendment,326,1,n
productive,326,1,a
per,325,1,n
draft,325,1,n
hydro,325,1,n
read,324,1,n
target,322,1,n
ex,322,1,n
selection,322,1,n
enable,320,1,a
four,319,1,n
climate,315,1,n
upgrade,313,1,n
legislation,312,1,n
overall,312,1,a
railway,312,1,n
repayable,311,1,a
fee,310,1,n
association,309,1,n
replacement,308,1,n
banking,307,1,n
corridor,305,1,n
disaster,305,1,n
organizational,305,1,a
main,305,1,a
governance,303,1,n
guarantor,302,1,n
five,301,1,n
resettlement,300,1,n
registration,299,1,n
repair,298,1,n
proposal,298,1,n
evaluate,297,1,n
knowledge,297,1,n
integration,297,1,n
air,297,1,n
definition,296,1,n
method,296,1,n
recommendation,296,1,n
payable,295,1,a
enhancement,294,1,n
future,294,1,n
forestry,294,1,n
bus,293,1,n
day,292,1,n
approval,291,1,n
custom,290,1,n
pollution,289,1,n
detailed,287,1,a
adequate,286,1,n
woman,285,1,n
instrument,284,1,n
transparency,281,1,n
thereto,280,1,n
current,278,1,a
along,278,1,n
progress,278,1,n
ion,275,1,n
transaction,275,1,n
utility,272,1,n
registry,272,1,n
curriculum,272,1,n
alternative,270,1,n
phase,269,1,n
except,269,1,n
approach,268,1,n
coverage,268,1,n
post,266,1,n
incentive,266,1,n
foreign,266,1,a
crop,265,1,n
seed,265,1,n
electronic,264,1,a
dam,264,1,n
county,261,1,n
prepare,261,1,n
recovery,260,1,n
formulation,259,1,n
specialized,259,1,a
board,258,1,n
refund,258,1,n
bidder,257,1,n
domestic,257,1,a
tourism,257,1,n
pipeline,257,1,n
letter,256,1,n
appendix,256,1,n
rule,256,1,n
aid,255,1,n
physical,254,1,a
poverty,252,1,n
base,251,1,n
six,250,1,n
article,248,1,n
federal,248,1,a
hardware,247,1,n
indigenous,247,1,a
university,246,1,n
professional,246,1,a
large,245,1,a
property,241,1,n
role,239,1,n
independent,238,1,a
month,237,1,n
address,235,1,n
completion,234,1,n
la,234,1,n
science,232,1,n
disposal,232,1,n
technique,232,1,n
expand,232,1,n
option,232,1,n
consistent,231,1,n
meet,230,1,n
percent,229,1,n
calendar,227,1,n
people,226,1,n
institute,225,1,n
worker,225,1,n
full,224,1,a
source,224,1,n
productivity,224,1,n
tour,221,1,n
cultural,221,1,a
view,221,1,n
sequent,221,1,n
disbursement,221,1,n
treasury,221,1,n
person,219,1,n
act,218,1,n
inclusion,217,1,n
aspect,216,1,n
platform,215,1,n
suitable,215,1,a
economy,215,1,n
course,214,1,n
corporate,213,1,a
participatory,212,1,n
applicable,210,1,a
enforcement,210,1,n
partnership,209,1,n
copy,209,1,n
due,209,1,a
initiative,209,1,n
core,207,1,n
disease,206,1,n
prevention,206,1,n
front,205,1,n
growth,205,1,n
team,204,1,n
certification,204,1,n
master,204,1,n
reservoir,203,1,n
outstanding,201,1,a
legislative,201,1,a
chain,201,1,n
representative,201,1,n
mission,201,1,n
loss,201,1,n
producer,200,1,n
flow,200,1,n
modern,200,1,a
ass,200,1,n
cash,199,1,n
real,197,1,a
surveillance,197,1,n
transportation,197,1,n
parliament,197,1,n
individual,196,1,a
safeguard,196,1,n
renewable,196,1,a
particular,195,1,a
inspection,194,1,n
affected,194,1,a
code,193,1,n
directorate,193,1,n
percentage,193,1,n
commission,193,1,n
wide,193,1,a
issuance,193,1,n
critical,192,1,a
food,192,1,n
mining,190,1,n
grade,190,1,n
consumer,190,1,n
billing,189,1,n
response,189,1,n
competitiveness,188,1,n
sewage,188,1,n
sale,188,1,n
park,188,1,n
purchase,188,1,n
furniture,187,1,n
achievement,187,1,n
various,186,1,a
external,186,1,a
prepared,186,1,a
customer,185,1,n
livestock,185,1,n
branch,185,1,n
net,185,1,n
job,184,1,n
supplier,183,1,n
cadastre,183,1,n
invitation,183,1,n
list,183,1,n
link,183,1,n
party,182,1,n
maintain,182,1,n
court,181,1,n
point,181,1,n
canal,181,1,n
initial,179,1,a
firm,179,1,n
incremental,179,1,n
ground,179,1,n
operator,178,1,n
managerial,177,1,n
award,177,1,n
town,175,1,n
cabinet,175,1,n
revision,175,1,n
seminar,175,1,n
available,174,1,a
terminal,173,1,n
citizen,173,1,n
test,172,1,n
equity,172,1,n
obligation,172,1,n
million,172,1,n
outreach,172,1,n
major,171,1,a
stock,171,1,n
statement,171,1,n
assurance,170,1,n
fishery,170,1,n
protocol,169,1,n
effort,169,1,n
secretariat,169,1,n
zone,169,1,n
short,169,1,a
demonstration,169,1,n
house,169,1,n
manager,168,1,n
accreditation,168,1,n
limited,168,1,a
channel,168,1,n
consultation,168,1,n
duly,168,1,n
purchaser,167,1,n
taxpayer,167,1,n
event,167,1,n
principle,166,1,n
nation,166,1,n
continue,166,1,n
operate,166,1,n
competition,165,1,n
lane,165,1,n
judicial,165,1,n
amortization,165,1,n
enactment,164,1,n
tertiary,164,1,a
verification,163,1,n
equal,163,1,a
effect,163,1,n
direct,162,1,a
different,161,1,a
advertisement,160,1,n
minimum,160,1,n
member,159,1,n
great,159,1,a
cover,159,1,n
contribute,158,1,n
help,157,1,n
sectoral,157,1,a
surface,157,1,n
drug,156,1,n
sewer,156,1,n
accountability,156,1,n
executive,155,1,n
type,155,1,n
description,155,1,n
mitigation,155,1,n
track,155,1,n
package,154,1,n
well,154,1,n
build,153,1,n
successor,153,1,n
sound,152,1,n
ly,152,1,n
living,151,1,n
united,150,1,a
consolidation,150,1,n
guarantee,150,1,n
budgetary,149,1,a
aggregate,149,1,n
classroom,149,1,n
south,149,1,n
safe,149,1,a
undertaking,149,1,n
east,148,1,n
coal,148,1,n
record,148,1,n
space,148,1,n
grid,148,1,n
ministerial,148,1,n
fellowship,148,1,n
vulnerable,147,1,a
west,147,1,n
would,147,1,n
inventory,147,1,n
meeting,147,1,n
graduate,147,1,n
relation,147,1,n
best,146,1,a
update,146,1,n
coastal,145,1,n
expert,145,1,n
input,145,1,n
statistic,145,1,n
justice,144,1,n
matter,143,1,n
newspaper,143,1,n
produce,143,1,n
advertising,143,1,n
digital,143,1,n
joint,143,1,n
focus,142,1,n
oversight,142,1,n
herein,141,1,n
nutrition,141,1,n
el,141,1,n
statistical,141,1,a
manual,141,1,n
item,141,1,n
map,141,1,n
train,140,1,n
specify,140,1,n
way,140,1,n
disseminate,140,1,n
limit,139,1,n
wind,139,1,n
self,139,1,n
anti,139,1,n
corruption,137,1,n
extent,137,1,n
metropolitan,136,1,n
withdraw,136,1,n
third,135,1,a
documentation,135,1,n
minor,135,1,n
technological,135,1,a
introduce,135,1,n
circuit,135,1,n
street,134,1,n
settlement,133,1,n
module,133,1,n
youth,133,1,n
director,133,1,n
library,132,1,n
experience,132,1,n
heritage,132,1,n
separate,132,1,a
problem,132,1,n
heat,132,1,n
renovation,131,1,n
textbook,131,1,n
diagnostic,131,1,a
pavement,131,1,n
spare,130,1,n
adjustment,130,1,n
liability,130,1,n
animal,128,1,n
without,128,1,n
heating,127,1,n
border,127,1,n
old,127,1,a
restoration,126,1,n
concession,126,1,n
deduct,126,1,n
require,126,1,n
status,125,1,n
thermal,125,1,n
free,124,1,a
reliability,124,1,n
addition,124,1,n
emission,124,1,n
rehabilitate,124,1,n
circulation,124,1,n
throughout,123,1,n
innovative,123,1,a
estate,123,1,n
journal,122,1,n
outcome,122,1,n
body,122,1,n
fuel,122,1,n
stance,121,1,n
location,121,1,n
proper,121,1,n
society,121,1,n
annex,121,1,n
storm,121,1,n
ownership,120,1,n
permit,120,1,n
book,120,1,n
recipient,120,1,n
cross,120,1,n
eu,119,1,n
periodic,119,1,n
create,119,1,n
age,119,1,n
classification,119,1,n
rail,118,1,n
marine,118,1,n
mobile,118,1,n
north,118,1,n
professional,118,1,n
territorial,118,1,n
functional,118,1,a
electrification,118,1,n
investor,118,1,n
accident,117,1,n
structural,117,1,a
hereby,117,1,n
reserve,116,1,n
supervisory,116,1,n
pipe,115,1,n
logistics,114,1,n
mobilization,114,1,n
twenty,114,1,n
norm,114,1,n
entirety,114,1,n
pump,113,1,n
ha,113,1,n
towards,113,1,n
license,113,1,n
instruction,113,1,n
hectare,112,1,n
vocational,112,1,a
unwithdrawn,112,1,n
conduct,112,1,n
step,112,1,n
pay,112,1,n
electric,112,1,a
across,112,1,n
content,112,1,n
competency,111,1,n
scholarship,111,1,n
linkage,110,1,n
pillar,110,1,n
ten,110,1,n
notification,110,1,n
driven,110,1,n
hazardous,110,1,a
open,109,1,a
tunnel,109,1,n
patient,109,1,n
tobacco,108,1,n
load,108,1,n
plantation,108,1,n
discharge,108,1,n
trainer,108,1,n
fiduciary,107,1,a
tree,107,1,n
waterway,107,1,n
petroleum,106,1,n
cancellation,106,1,n
contribution,106,1,n
employee,105,1,n
upper,105,1,a
facilitation,105,1,n
foster,105,1,n
affair,104,1,n
container,104,1,n
advice,104,1,n
protect,104,1,n
regime,104,1,n
either,104,1,n
place,103,1,n
guide,103,1,n
analytical,103,1,a
electrical,102,1,a
output,102,1,n
good,102,1,a
bill,102,1,n
presidential,102,1,a
bureau,101,1,n
behalf,101,1,n
world,101,1,n
sanitary,100,1,a
exceed,100,1,n
mi,100,1,n
residential,100,1,a
nature,99,1,n
longer,99,1,n
unless,99,1,n
deliver,99,1,n
gap,99,1,n
adaptation,99,1,n
essential,99,1,a
viable,99,1,a
determine,99,1,n
solution,98,1,n
macro,98,1,n
clinical,98,1,a
inaccordance,98,1,n
appraisal,98,1,n
welfare,98,1,n
transformer,97,1,n
passenger,96,1,n
mine,96,1,n
sum,96,1,n
diagnosis,96,1,n
circular,96,1,n
viability,96,1,n
force,96,1,n
qualification,95,1,n
routine,95,1,n
union,95,1,n
parking,95,1,n
individual,95,1,n
da,95,1,n
pest,95,1,n
compensation,95,1,n
san,95,1,n
regular,95,1,a
preschool,94,1,n
recruitment,94,1,n
jo,94,1,n
unified,94,1,a
connectivity,94,1,n
analyze,94,1,n
er,94,1,n
satisfaction,93,1,n
comparison,93,1,n
tank,93,1,n
dollar,93,1,n
optimization,93,1,n
adult,93,1,n
supervise,92,1,n
green,92,1,a
preventive,92,1,n
pedestrian,92,1,a
emphasis,91,1,n
quotation,91,1,n
final,91,1,a
solar,91,1,n
release,91,1,n
eligibility,90,1,n
ecological,90,1,a
head,90,1,n
replenishment,90,1,n
transit,90,1,n
web,90,1,n
neighborhood,90,1,n
length,89,1,n
mass,89,1,n
childhood,89,1,n
resilience,88,1,n
specialist,88,1,n
life,88,1,n
hygiene,88,1,n
position,88,1,n
prequalification,88,1,n
agent,88,1,n
forum,87,1,n
detection,87,1,n
series,87,1,n
division,87,1,n
supreme,86,1,n
serve,86,1,n
bulk,86,1,n
degree,86,1,n
segment,86,1,n
participant,86,1,n
reasonable,86,1,a
para,86,1,n
adequacy,85,1,n
factor,85,1,n
voltage,85,1,n
geothermal,85,1,n
measurement,85,1,n
complementary,85,1,n
visit,84,1,n
maternal,84,1,n
permanent,84,1,n
gender,84,1,n
salary,84,1,n
define,84,1,n
continuous,83,1,a
home,83,1,n
select,83,1,n
raise,83,1,n
freight,83,1,n
ability,83,1,n
commodity,83,1,n
remote,83,1,n
saving,83,1,n
side,82,1,n
cable,82,1,n
ancillary,82,1,a
range,82,1,n
size,82,1,n
engagement,82,1,n
reorganization,82,1,n
consolidated,81,1,a
transparent,81,1,n
mitigate,81,1,n
stage,81,1,n
seven,81,1,n
inform,81,1,n
tele,81,1,n
fire,80,1,n
literacy,80,1,n
possible,80,1,a
mechanical,80,1,a
complete,80,1,a
liquidation,80,1,n
limitation,80,1,n
distance,80,1,n
rationalization,80,1,n
satisfied,79,1,a
transition,79,1,n
servant,79,1,n
screen,79,1,n
certain,79,1,a
periodical,79,1,a
collaboration,79,1,n
diameter,79,1,n
eight,79,1,n
academic,79,1,a
reflect,78,1,n
car,78,1,n
gold,78,1,n
erosion,78,1,n
congress,78,1,n
situation,77,1,n
thirty,77,1,n
paper,77,1,n
client,77,1,n
block,77,1,n
consist,77,1,n
geographic,77,1,a
scope,77,1,n
scientific,76,1,a
sea,76,1,n
integrate,76,1,n
feedback,76,1,n
corporation,76,1,n
meteorological,76,1,a
historic,76,1,n
encourage,76,1,n
culture,76,1,n
ecosystem,76,1,n
secretary,75,1,n
reliable,75,1,a
dispatch,75,1,n
concrete,75,1,n
partner,75,1,n
undertake,75,1,n
reef,74,1,n
supervisor,74,1,n
intake,74,1,n
consumption,74,1,n
fertilizer,73,1,n
feed,73,1,n
reinforcement,73,1,n
toll,73,1,n
name,73,1,n
repay,73,1,n
route,73,1,n
western,73,1,a
radio,72,1,n
taxation,72,1,n
class,72,1,n
autonomous,72,1,a
maximum,72,1,n
language,72,1,n
commercialization,72,1,n
last,71,1,a
parent,71,1,n
average,71,1,a
common,71,1,a
liquidity,71,1,n
closure,71,1,n
sidy,70,1,n
specification,70,1,n
accessibility,70,1,n
temporary,70,1,a
ley,70,1,n
medicine,70,1,n
mobility,70,1,n
drilling,70,1,n
main,70,1,n
word,70,1,n
regulate,70,1,n
hazard,69,1,n
prime,69,1,n
cadastral,69,1,a
removal,69,1,n
connect,69,1,n
generate,69,1,n
vulnerability,69,1,n
trunk,69,1,n
comply,69,1,n
shanghai,69,1,n
foundation,68,1,n
monetary,68,1,a
career,68,1,n
drain,68,1,n
complex,68,1,a
duty,68,1,n
administrator,68,1,n
island,68,1,n
elimination,68,1,n
timber,68,1,n
respond,68,1,n
device,67,1,n
relevance,67,1,n
cycle,67,1,n
machinery,67,1,n
hedge,67,1,n
spending,67,1,n
eliminate,67,1,n
clean,67,1,n
truck,67,1,n
forecasting,66,1,n
logical,66,1,a
cargo,66,1,n
entry,66,1,n
formula,66,1,n
communal,66,1,n
auditor,66,1,n
certificate,66,1,n
concept,66,1,n
prevent,66,1,n
folio,66,1,n
lake,66,1,n
raw,66,1,n
declaration,65,1,n
judiciary,65,1,n
sludge,65,1,n
investigation,65,1,n
register,65,1,n
goal,65,1,n
carbon,65,1,n
barrier,65,1,n
perform,65,1,n
cluster,65,1,n
tobe,65,1,n
guidance,64,1,n
southern,64,1,a
wood,64,1,n
clearance,64,1,n
topic,64,1,n
president,64,1,n
refurbishment,64,1,n
equitable,64,1,a
nursery,64,1,n
adopt,64,1,n
denominator,64,1,n
trading,64,1,n
mandate,63,1,n
depot,63,1,n
megawatt,63,1,n
exposure,63,1,n
lease,63,1,n
behavior,63,1,n
effluent,63,1,n
disclosure,63,1,n
grievance,63,1,n
adverse,63,1,n
met,63,1,n
pressure,63,1,n
stop,63,1,n
examination,62,1,n
formulate,62,1,n
ber,62,1,n
numerator,62,1,n
livelihood,62,1,n
mid,62,1,n
feeder,62,1,n
universal,62,1,n
shed,61,1,n
payroll,61,1,n
semi,61,1,n
eastern,61,1,a
mandatory,61,1,n
gate,61,1,n
context,61,1,n
preparedness,61,1,n
fifty,61,1,n
contractor,61,1,n
exemption,61,1,n
coral,61,1,a
reach,60,1,n
instructional,60,1,a
black,60,1,a
spot,60,1,n
leader,60,1,n
renewal,60,1,n
cause,60,1,n
generator,60,1,n
rev,60,1,n
constraint,60,1,n
ad,60,1,n
valuation,59,1,n
junior,59,1,n
advanced,59,1,a
deployment,59,1,n
census,59,1,n
vessel,59,1,n
entrepreneur,59,1,n
collector,59,1,n
enrollment,59,1,n
pedagogical,59,1,a
authorization,59,1,n
collect,59,1,n
reactor,58,1,n
cubic,58,1,n
ton,58,1,n
specie,58,1,n
transformation,58,1,n
bond,58,1,n
return,58,1,n
directive,58,1,n
earthquake,58,1,n
young,58,1,a
denomination,58,1,n
venture,58,1,n
warehouse,58,1,n
amba,58,1,n
dike,57,1,n
smallholder,57,1,n
premium,57,1,n
cap,57,1,n
formal,57,1,a
judge,57,1,n
senior,57,1,a
diversification,57,1,n
element,57,1,n
police,57,1,n
aquaculture,57,1,n
repayment,57,1,n
crossing,57,1,n
successful,57,1,a
orientation,57,1,n
officer,57,1,n
veterinary,57,1,a
construct,56,1,n
profile,56,1,n
st,56,1,n
landscape,56,1,n
referral,56,1,a
sumatra,56,1,n
previous,56,1,a
chemical,56,1,n
bay,56,1,n
aim,56,1,n
systematic,56,1,a
traditional,55,1,a
wage,55,1,n
te,55,1,n
volume,55,1,n
adaptive,55,1,a
autonomy,55,1,n
outfall,55,1,n
clinic,54,1,n
beyond,54,1,n
kilovolt,54,1,n
reuse,54,1,n
consideration,54,1,n
timetable,54,1,n
pertinent,54,1,n
id,54,1,n
global,54,1,a
formation,54,1,n
around,54,1,n
potable,54,1,a
speed,54,1,n
outside,54,1,n
adapt,54,1,n
separation,54,1,n
finding,53,1,n
prudential,53,1,n
hereof,53,1,n
fruit,53,1,n
modality,53,1,n
occupational,53,1,a
printing,53,1,n
regularization,53,1,n
enter,53,1,n
voluntary,53,1,a
fraud,53,1,n
active,53,1,a
whose,53,1,n
gathering,53,1,n
whether,53,1,n
preservation,53,1,n
underground,52,1,n
receive,52,1,n
conference,52,1,n
similar,52,1,a
remedial,52,1,n
extend,52,1,n
smart,52,1,n
every,52,1,n
automatic,52,1,a
reading,52,1,n
invoice,52,1,n
communicable,52,1,a
dispute,52,1,n
ni,52,1,n
path,52,1,n
nationwide,52,1,a
epidemiological,52,1,a
ring,52,1,n
spatial,52,1,a
fish,51,1,n
pro,51,1,n
thousand,51,1,n
nine,51,1,n
charter,51,1,n
estimate,51,1,n
palm,51,1,n
maturity,51,1,n
regard,51,1,n
collective,51,1,n
damage,50,1,n
federation,50,1,n
pesticide,50,1,n
trust,50,1,n
middle,50,1,n
turbine,50,1,n
fraction,50,1,n
determination,50,1,n
pond,50,1,n
relationship,50,1,n
involvement,50,1,n
expense,50,1,n
rubber,50,1,n
validation,50,1,n
reallocation,50,1,n
initiation,50,1,n
collateral,50,1,n
ceiling,50,1,n
title,50,1,n
entire,50,1,a
relocation,50,1,n
edition,49,1,n
sand,49,1,n
northern,49,1,a
assignment,49,1,n
hour,49,1,n
face,49,1,n
elaboration,49,1,n
auxiliary,49,1,a
another,49,1,n
inland,49,1,n
integrity,49,1,n
stability,49,1,n
personal,49,1,a
spectrum,49,1,n
negotiation,48,1,n
adjacent,48,1,n
crisis,48,1,n
plot,48,1,n
commerce,48,1,n
rapid,48,1,a
column,48,1,n
chronic,48,1,n
geographical,48,1,a
agenda,48,1,n
hydraulic,47,1,n
filing,47,1,n
faculty,47,1,n
redesign,47,1,n
en,47,1,n
si,47,1,n
ae,47,1,n
culvert,47,1,n
dialogue,47,1,n
weather,47,1,n
boundary,47,1,n
insolvency,47,1,n
dairy,47,1,n
unemployment,47,1,n
offer,46,1,n
retention,46,1,n
sat,46,1,n
wholesale,46,1,n
clearing,46,1,n
deficit,46,1,n
vat,46,1,n
forty,46,1,n
travel,46,1,n
dump,46,1,n
insection,46,1,n
twelve,46,1,n
usage,46,1,n
card,46,1,n
ratio,46,1,n
trial,45,1,n
start,45,1,n
light,45,1,n
cattle,45,1,n
lifeline,45,1,n
se,45,1,n
po,45,1,n
roll,45,1,n
lesson,45,1,n
advisor,45,1,n
sign,45,1,n
informal,45,1,a
perimeter,45,1,n
consolidate,45,1,n
mortgage,45,1,n
depth,45,1,n
chapter,45,1,n
maritime,44,1,n
stabilization,44,1,n
vice,44,1,n
turkey,44,1,n
unemployed,44,1,a
incorporation,44,1,n
preparatory,44,1,n
forecast,44,1,n
alignment,44,1,n
mediation,44,1,n
owner,44,1,n
standardization,44,1,n
tender,44,1,n
next,44,1,a
found,43,1,n
employer,43,1,n
preliminary,43,1,a
fifteen,43,1,n
tenure,43,1,n
headquarters,43,1,n
streamline,43,1,n
breeding,43,1,n
panel,43,1,n
bicycle,43,1,n
near,43,1,n
accessible,43,1,a
signal,43,1,n
task,42,1,n
nuclear,42,1,a
replenish,42,1,n
sixty,42,1,n
become,42,1,n
conditional,42,1,a
watch,42,1,n
allowance,42,1,n
fiber,42,1,n
characteristic,42,1,n
remediation,42,1,n
pattern,42,1,n
certify,42,1,n
concerned,42,1,a
archive,41,1,n
disability,41,1,n
simplification,41,1,n
demonstrate,41,1,n
military,41,1,a
ware,41,1,n
offering,41,1,n
metal,41,1,n
navigation,41,1,n
rio,41,1,n
put,41,1,n
pharmaceutical,41,1,n
grain,41,1,n
th,41,1,n
intensive,41,1,a
complaint,41,1,n
entrepreneurship,41,1,n
architecture,41,1,n
